task_id	hash	native_id	name	status	exit	submit	duration	realtime	%cpu	peak_rss	peak_vmem	rchar	wchar
49	d8/24c064	67829	NFCORE_VIRALRECON:ILLUMINA:FASTQ_ALIGN_BOWTIE2:BAM_SORT_STATS_SAMTOOLS:BAM_STATS_SAMTOOLS:SAMTOOLS_IDXSTATS (SRR13500958)	COMPLETED	0	2024-05-21 13:07:13.511	2.5s	80ms	169.7%	0	0	146.4 KB	6.2 KB
50	7a/8f99f6	67980	NFCORE_VIRALRECON:ILLUMINA:FASTQ_ALIGN_BOWTIE2:BAM_SORT_STATS_SAMTOOLS:BAM_STATS_SAMTOOLS:SAMTOOLS_FLAGSTAT (ERR5556343)	COMPLETED	0	2024-05-21 13:07:16.025	2.9s	692ms	129.4%	7.2 MB	224.9 MB	7.3 MB	6.7 KB
41	41/020e4d	68136	NFCORE_VIRALRECON:ILLUMINA:FASTQ_ALIGN_BOWTIE2:BAM_SORT_STATS_SAMTOOLS:BAM_STATS_SAMTOOLS:SAMTOOLS_FLAGSTAT (ERR5405022)	COMPLETED	0	2024-05-21 13:07:18.968	2.7s	553ms	139.3%	7.1 MB	224.9 MB	7.5 MB	6.7 KB
51	09/d3e57c	68312	NFCORE_VIRALRECON:ILLUMINA:FASTQ_ALIGN_BOWTIE2:BAM_SORT_STATS_SAMTOOLS:BAM_STATS_SAMTOOLS:SAMTOOLS_FLAGSTAT (SRR13500958)	COMPLETED	0	2024-05-21 13:07:21.712	2.9s	378ms	128.4%	7.1 MB	160.9 MB	5.2 MB	6.7 KB
44	c9/42a9a2	68466	NFCORE_VIRALRECON:ILLUMINA:FASTQ_ALIGN_BOWTIE2:BAM_SORT_STATS_SAMTOOLS:BAM_STATS_SAMTOOLS:SAMTOOLS_STATS (ERR5556343)	COMPLETED	0	2024-05-21 13:07:24.647	5.4s	3.2s	148.9%	8.4 MB	226.3 MB	7.3 MB	105.7 KB
43	0b/0963ac	68759	NFCORE_VIRALRECON:ILLUMINA:FASTQ_ALIGN_BOWTIE2:BAM_SORT_STATS_SAMTOOLS:BAM_STATS_SAMTOOLS:SAMTOOLS_STATS (ERR5405022)	COMPLETED	0	2024-05-21 13:07:30.147	4.6s	1.4s	148.0%	8.1 MB	226.4 MB	7.5 MB	95.5 KB
39	fe/379e8c	68957	NFCORE_VIRALRECON:ILLUMINA:FASTQ_ALIGN_BOWTIE2:BAM_SORT_STATS_SAMTOOLS:BAM_STATS_SAMTOOLS:SAMTOOLS_STATS (ERR5743893)	COMPLETED	0	2024-05-21 13:07:34.809	4.1s	1.8s	148.4%	8.2 MB	226.4 MB	4.8 MB	106 KB
42	89/932d82	69169	NFCORE_VIRALRECON:ILLUMINA:FASTQ_ALIGN_BOWTIE2:BAM_SORT_STATS_SAMTOOLS:BAM_STATS_SAMTOOLS:SAMTOOLS_STATS (ERR5181310)	COMPLETED	0	2024-05-21 13:07:38.933	15.4s	12.6s	144.0%	8.4 MB	226.3 MB	32.6 MB	100.3 KB
48	74/35bfd1	69789	NFCORE_VIRALRECON:ILLUMINA:FASTQ_ALIGN_BOWTIE2:BAM_SORT_STATS_SAMTOOLS:BAM_STATS_SAMTOOLS:SAMTOOLS_STATS (SRR13500958)	COMPLETED	0	2024-05-21 13:07:54.321	4.3s	1.3s	151.3%	8.5 MB	226.3 MB	5.2 MB	140.1 KB
54	4f/6e6e4a	70040	NFCORE_VIRALRECON:ILLUMINA:BAM_TRIM_PRIMERS_IVAR:IVAR_TRIM (ERR5556343)	COMPLETED	0	2024-05-21 13:08:22.256	11.7s	8.9s	134.2%	13 MB	22.8 MB	7.3 MB	7.3 MB
53	0b/4e270a	70490	NFCORE_VIRALRECON:ILLUMINA:BAM_TRIM_PRIMERS_IVAR:IVAR_TRIM (ERR5743893)	COMPLETED	0	2024-05-21 13:08:34.002	9s	5.9s	125.5%	11.6 MB	21.4 MB	4.7 MB	4.6 MB
55	40/fe7ee7	70846	NFCORE_VIRALRECON:ILLUMINA:BAM_TRIM_PRIMERS_IVAR:IVAR_TRIM (ERR5405022)	COMPLETED	0	2024-05-21 13:08:43.078	11.9s	8.6s	113.3%	11.8 MB	21.5 MB	7.5 MB	7.4 MB
52	a9/bb430c	71329	NFCORE_VIRALRECON:ILLUMINA:BAM_TRIM_PRIMERS_IVAR:IVAR_TRIM (ERR5181310)	COMPLETED	0	2024-05-21 13:08:54.972	26.2s	23.7s	114.2%	30.4 MB	40.3 MB	32.6 MB	32.8 MB
56	ec/d59330	72081	NFCORE_VIRALRECON:ILLUMINA:BAM_TRIM_PRIMERS_IVAR:IVAR_TRIM (SRR13500958)	COMPLETED	0	2024-05-21 13:09:21.172	5.1s	2.4s	126.1%	9.4 MB	19.2 MB	5.2 MB	5.1 MB
57	e8/54186f	72304	NFCORE_VIRALRECON:ILLUMINA:BAM_TRIM_PRIMERS_IVAR:BAM_SORT_STATS_SAMTOOLS:SAMTOOLS_SORT (ERR5556343)	COMPLETED	0	2024-05-21 13:09:26.304	4.7s	2.4s	323.1%	155.6 MB	2.9 GB	7.4 MB	7.2 MB
